년월,시도명,읍면동명,국적,외국인유동인구수
2019-09,제주시,용담1동,중국,16294.22
2019-09,제주시,용담1동,중국 외,7983.09
2019-09,제주시,용담2동,중국,806175.65
2019-09,제주시,용담2동,중국 외,196908.93
2019-09,제주시,우도면,중국,54412.81
2019-09,제주시,우도면,중국 외,5263.46
2019-09,제주시,이도1동,중국,28976.9
2019-09,제주시,이도1동,중국 외,18142.31
2019-09,제주시,이도2동,중국,48661.619999999995
2019-09,제주시,이도2동,중국 외,28035.45
2019-09,제주시,이호동,중국,41048.26
2019-09,제주시,이호동,중국 외,12258.4
2019-09,제주시,일도1동,중국,15160.91
2019-09,제주시,일도1동,중국 외,6657.2300000000005
2019-09,제주시,일도2동,중국,48421.79
2019-09,제주시,일도2동,중국 외,5102.57
2019-09,서귀포시,정방동,중국,41147.02
2019-09,서귀포시,정방동,중국 외,28449.9
2019-09,제주시,조천읍,중국,119653.16
2019-09,제주시,조천읍,중국 외,26610.99
2019-09,서귀포시,중문동,중국,105698.43
2019-09,서귀포시,중문동,중국 외,18204.97
2019-09,서귀포시,중앙동,중국,13127.08
2019-09,서귀포시,중앙동,중국 외,5210.36
2019-09,서귀포시,천지동,중국,23101.1
2019-09,서귀포시,천지동,중국 외,8671.48
2019-09,제주시,추자면,중국,60321.51
2019-09,제주시,추자면,중국 외,7990.16
2019-09,서귀포시,표선면,중국,73843.59
2019-09,서귀포시,표선면,중국 외,27987.45
2019-09,제주시,한경면,중국,27521.46
2019-09,제주시,한경면,중국 외,3758.86
2019-09,제주시,한림읍,중국,76462.9
2019-09,제주시,한림읍,중국 외,22065.12
2019-09,제주시,화북동,중국,9141.68
2019-09,제주시,화북동,중국 외,3271.92
2019-09,서귀포시,효돈동,중국,6661.11
2019-09,서귀포시,효돈동,중국 외,1424.6200000000001
2019-10,제주시,건입동,중국,135754.56
2019-10,제주시,건입동,중국 외,44048.78
2019-10,제주시,구좌읍,중국,70568.28
2019-10,제주시,구좌읍,중국 외,23993.86
2019-10,서귀포시,남원읍,중국,157560.11
2019-10,서귀포시,남원읍,중국 외,45922.84
2019-10,제주시,노형동,중국,539759.39
2019-10,제주시,노형동,중국 외,69727.91
2019-10,서귀포시,대륜동,중국,110398.59999999999
2019-10,서귀포시,대륜동,중국 외,33009.98
2019-10,서귀포시,대정읍,중국,35941.3
2019-10,서귀포시,대정읍,중국 외,6056.7300000000005
2019-10,서귀포시,대천동,중국,24304.95
2019-10,서귀포시,대천동,중국 외,11750.42
2019-10,제주시,도두동,중국,342902.69
2019-10,제주시,도두동,중국 외,42918.99
2019-10,서귀포시,동홍동,중국,60462.59
2019-10,서귀포시,동홍동,중국 외,9456.86
2019-10,제주시,봉개동,중국,32774.17
2019-10,제주시,봉개동,중국 외,12497.78
2019-10,제주시,삼도1동,중국,41704.25
2019-10,제주시,삼도1동,중국 외,23527.14
2019-10,제주시,삼도2동,중국,131472.91
2019-10,제주시,삼도2동,중국 외,90113.65
2019-10,제주시,삼양동,중국,15725.23
2019-10,제주시,삼양동,중국 외,5436.47
2019-10,서귀포시,서홍동,중국,537774.91
2019-10,서귀포시,서홍동,중국 외,23403.3
2019-10,서귀포시,성산읍,중국,203021.68
2019-10,서귀포시,성산읍,중국 외,72725.2
2019-10,서귀포시,송산동,중국,17032.49
2019-10,서귀포시,송산동,중국 외,6977.93
2019-10,제주시,아라동,중국,41626.65
2019-10,제주시,아라동,중국 외,21133.05
2019-10,서귀포시,안덕면,중국,321623.8
2019-10,서귀포시,안덕면,중국 외,70185.24
2019-10,제주시,애월읍,중국,516848.72
2019-10,제주시,애월읍,중국 외,94921.6
2019-10,제주시,연동,중국,1656771.28
2019-10,제주시,연동,중국 외,210255.58
2019-10,서귀포시,영천동,중국,61774.58
2019-10,서귀포시,영천동,중국 외,10344.33
2019-10,서귀포시,예래동,중국,185848.09
2019-10,서귀포시,예래동,중국 외,55402.33
2019-10,제주시,오라동,중국,51812.29
2019-10,제주시,오라동,중국 외,28089.76
2019-10,제주시,외도동,중국,27495.62
2019-10,제주시,외도동,중국 외,19367.5
2019-10,제주시,용담1동,중국,18062.34
2019-10,제주시,용담1동,중국 외,8601.38
2019-10,제주시,용담2동,중국,879090.49
2019-10,제주시,용담2동,중국 외,226182.06
